mode,n_measurements,duration_label,mu_baseline,sigma_baseline,rho,h_init,mde
ap_only,2,6mo,0.5,0.1,0.7,-0.05,0.26862745098039215
ap_only,2,6mo,0.5,0.1,0.7,0.0,0.26589147286821707
ap_only,2,6mo,0.5,0.1,0.7,0.05,0.2634453781512605
ap_only,2,6mo,0.5,0.1,0.9,-0.05,0.26516393442622954
ap_only,2,6mo,0.5,0.1,0.9,0.0,0.3101694915254237
ap_only,2,6mo,0.5,0.1,0.9,0.05,
ap_only,2,6mo,0.5,0.2,0.5,-0.05,0.22704081632653064
ap_only,2,6mo,0.5,0.2,0.5,0.0,0.23080808080808082
ap_only,2,6mo,0.5,0.2,0.5,0.05,0.22961956521739132
ap_only,2,6mo,0.5,0.2,0.7,-0.05,0.26007751937984497
ap_only,2,6mo,0.5,0.2,0.7,0.0,0.26343283582089555
ap_only,2,6mo,0.5,0.2,0.7,0.05,0.28185840707964605
ap_only,2,6mo,0.5,0.2,0.9,-0.05,0.25357142857142856
ap_only,2,6mo,0.5,0.2,0.9,0.0,0.3267857142857143
ap_only,2,6mo,0.5,0.2,0.9,0.05,
ap_only,2,6mo,0.7,0.1,0.5,-0.05,0.23313253012048196
ap_only,2,6mo,0.7,0.1,0.5,0.0,0.22560000000000002
ap_only,2,6mo,0.7,0.1,0.5,0.05,0.21086956521739134
ap_only,2,6mo,0.7,0.1,0.7,-0.05,0.2744186046511628
ap_only,2,6mo,0.7,0.1,0.7,0.0,0.28359375000000003
ap_only,2,6mo,0.7,0.1,0.7,0.05,
ap_only,2,6mo,0.7,0.1,0.9,-0.05,0.283203125
ap_only,2,6mo,0.7,0.1,0.9,0.0,
ap_only,2,6mo,0.7,0.1,0.9,0.05,
ap_only,2,6mo,0.7,0.2,0.5,-0.05,0.23614457831325303
ap_only,2,6mo,0.7,0.2,0.5,0.0,0.24133333333333334
ap_only,2,6mo,0.7,0.2,0.5,0.05,0.2584158415841584
ap_only,2,6mo,0.7,0.2,0.7,-0.05,0.28963414634146345
ap_only,2,6mo,0.7,0.2,0.7,0.0,0.29404761904761906
ap_only,2,6mo,0.7,0.2,0.7,0.05,0.3898989898989899
ap_only,2,6mo,0.7,0.2,0.9,-0.05,0.28695652173913044
ap_only,2,6mo,0.7,0.2,0.9,0.0,
ap_only,2,6mo,0.7,0.2,0.9,0.05,
ap_only,3,1.5yr,0.3,0.1,0.5,-0.05,0.15401234567901234
ap_only,3,1.5yr,0.3,0.1,0.5,0.0,0.166751269035533
ap_only,3,1.5yr,0.3,0.1,0.5,0.05,0.1783482142857143
ap_only,3,1.5yr,0.3,0.1,0.7,-0.05,0.1843085106382979
ap_only,3,1.5yr,0.3,0.1,0.7,0.0,0.20598802395209584
ap_only,3,1.5yr,0.3,0.1,0.7,0.05,0.21925000000000003
ap_only,3,1.5yr,0.3,0.1,0.9,-0.05,0.25422077922077924
ap_only,3,1.5yr,0.3,0.1,0.9,0.0,0.2563380281690141
ap_only,3,1.5yr,0.3,0.1,0.9,0.05,0.26564885496183205
ap_only,3,1.5yr,0.3,0.2,0.5,-0.05,0.14846511627906978
ap_only,3,1.5yr,0.3,0.2,0.5,0.0,0.16322751322751325
ap_only,3,1.5yr,0.3,0.2,0.5,0.05,0.1674033149171271
ap_only,3,1.5yr,0.3,0.2,0.7,-0.05,0.18282608695652175
ap_only,3,1.5yr,0.3,0.2,0.7,0.0,0.19738955823293175
ap_only,3,1.5yr,0.3,0.2,0.7,0.05,0.2110119047619048
ap_only,3,1.5yr,0.3,0.2,0.9,-0.05,0.26170212765957446
ap_only,3,1.5yr,0.3,0.2,0.9,0.0,0.24755434782608696
ap_only,3,1.5yr,0.3,0.2,0.9,0.05,0.28383458646616544
ap_only,3,1.5yr,0.5,0.1,0.5,-0.05,0.18066914498141265
ap_only,3,1.5yr,0.5,0.1,0.5,0.0,0.18130434782608695
ap_only,3,1.5yr,0.5,0.1,0.5,0.05,0.18242677824267783
ap_only,3,1.5yr,0.5,0.1,0.7,-0.05,0.21503496503496505
ap_only,3,1.5yr,0.5,0.1,0.7,0.0,0.21789473684210528
ap_only,3,1.5yr,0.5,0.1,0.7,0.05,0.20648854961832064
ap_only,3,1.5yr,0.5,0.1,0.9,-0.05,0.2625874125874126
ap_only,3,1.5yr,0.5,0.1,0.9,0.0,0.26857142857142857
ap_only,3,1.5yr,0.5,0.1,0.9,0.05,
ap_only,3,1.5yr,0.5,0.2,0.5,-0.05,0.1725641025641026
ap_only,3,1.5yr,0.5,0.2,0.5,0.0,0.17600000000000002
ap_only,3,1.5yr,0.5,0.2,0.5,0.05,0.17500000000000002
ap_only,3,1.5yr,0.5,0.2,0.7,-0.05,0.2104575163398693
ap_only,3,1.5yr,0.5,0.2,0.7,0.0,0.2132450331125828
ap_only,3,1.5yr,0.5,0.2,0.7,0.05,0.21807228915662652
ap_only,3,1.5yr,0.5,0.2,0.9,-0.05,0.2619402985074627
ap_only,3,1.5yr,0.5,0.2,0.9,0.0,0.2636752136752137
ap_only,3,1.5yr,0.5,0.2,0.9,0.05,
ap_only,3,1.5yr,0.7,0.1,0.5,-0.05,0.17887323943661973
ap_only,3,1.5yr,0.7,0.1,0.5,0.0,0.17110552763819098
ap_only,3,1.5yr,0.7,0.1,0.5,0.05,0.163855421686747
ap_only,3,1.5yr,0.7,0.1,0.7,-0.05,0.20634328358208956
ap_only,3,1.5yr,0.7,0.1,0.7,0.0,0.20634920634920637
ap_only,3,1.5yr,0.7,0.1,0.7,0.05,0.22789855072463772
ap_only,3,1.5yr,0.7,0.1,0.9,-0.05,0.2624
ap_only,3,1.5yr,0.7,0.1,0.9,0.0,0.2694805194805195
ap_only,3,1.5yr,0.7,0.1,0.9,0.05,
ap_only,3,1.5yr,0.7,0.2,0.5,-0.05,0.17652582159624414
ap_only,3,1.5yr,0.7,0.2,0.5,0.0,0.17926829268292685
ap_only,3,1.5yr,0.7,0.2,0.5,0.05,0.18204419889502765
ap_only,3,1.5yr,0.7,0.2,0.7,-0.05,0.2155844155844156
ap_only,3,1.5yr,0.7,0.2,0.7,0.0,0.22077464788732395
ap_only,3,1.5yr,0.7,0.2,0.7,0.05,0.26146788990825687
ap_only,3,1.5yr,0.7,0.2,0.9,-0.05,0.2653846153846154
ap_only,3,1.5yr,0.7,0.2,0.9,0.0,0.28611111111111115
ap_only,3,1.5yr,0.7,0.2,0.9,0.05,
ap_only,3,1yr,0.3,0.1,0.5,-0.05,0.16425
ap_only,3,1yr,0.3,0.1,0.5,0.0,0.17342857142857143
ap_only,3,1yr,0.3,0.1,0.5,0.05,0.1799145299145299
ap_only,3,1yr,0.3,0.1,0.7,-0.05,0.19186991869918701
ap_only,3,1yr,0.3,0.1,0.7,0.0,0.20719178082191783
ap_only,3,1yr,0.3,0.1,0.7,0.05,0.21446540880503145
ap_only,3,1yr,0.3,0.1,0.9,-0.05,0.23798449612403103
ap_only,3,1yr,0.3,0.1,0.9,0.0,0.24800884955752212
ap_only,3,1yr,0.3,0.1,0.9,0.05,0.2627118644067797
ap_only,3,1yr,0.3,0.2,0.5,-0.05,0.15934343434343434
ap_only,3,1yr,0.3,0.2,0.5,0.0,0.1706896551724138
ap_only,3,1yr,0.3,0.2,0.5,0.05,0.17523584905660378
ap_only,3,1yr,0.3,0.2,0.7,-0.05,0.18927125506072878
ap_only,3,1yr,0.3,0.2,0.7,0.0,0.19974747474747476
ap_only,3,1yr,0.3,0.2,0.7,0.05,0.21107784431137727
