mode,n_measurements,study_end_week,duration_label,mu_baseline,sigma_baseline,target_att,rho,h_init,power,mean_att,mean_se,sd_att
pooled,3,26,6mo,0.7,0.1,0.1,0.5,0.05,0.502,0.1034100000311845,0.051812412549337196,0.05381375686638046
pooled,3,26,6mo,0.7,0.1,0.08,0.7,0.0,0.296,0.09283842251450573,0.06466044373357326,0.06826414945812133
pooled,3,26,6mo,0.7,0.1,0.1,0.5,-0.05,0.438,0.10911350691020534,0.05877592395413185,0.059086504437507806
pooled,3,26,6mo,0.7,0.1,0.1,0.9,-0.05,0.301,0.11290453868759996,0.07605294547245527,0.07445056180756475
pooled,3,26,6mo,0.7,0.1,0.1,0.7,0.0,0.404,0.11144393395326732,0.06406126727960794,0.06427860926705467
pooled,3,26,6mo,0.7,0.1,0.1,0.7,-0.05,0.351,0.11214908251542914,0.06880851458368753,0.06582799181820924
pooled,3,26,6mo,0.7,0.1,0.1,0.5,0.0,0.446,0.10502315946777713,0.05590159799349196,0.0563114693717917
pooled,3,26,6mo,0.7,0.1,0.12,0.5,-0.05,0.574,0.1285182112101091,0.05840540417511042,0.059422021724360785
pooled,3,26,6mo,0.7,0.1,0.12,0.9,-0.05,0.429,0.1358713077938788,0.07531901054103587,0.075551380890277
pooled,3,26,6mo,0.7,0.1,0.12,0.9,0.0,0.433,0.12114525879378531,0.06656562585039932,0.06464569407598596
pooled,3,26,6mo,0.7,0.1,0.1,0.9,0.05,0.172,0.053260686441381766,0.05288559752933719,0.05355923031085558
pooled,3,26,6mo,0.7,0.1,0.12,0.5,0.0,0.629,0.13126346015150586,0.055753495116232156,0.05657953386533496
pooled,3,26,6mo,0.7,0.1,0.08,0.9,0.0,0.23,0.08642196396359339,0.06759925992625374,0.0658755226649876
pooled,3,26,6mo,0.7,0.1,0.12,0.9,0.05,0.182,0.057747949363905066,0.052624968038435624,0.05147947495664656
pooled,3,26,6mo,0.7,0.1,0.12,0.7,0.05,0.511,0.11737037167004313,0.05732856196951496,0.05647290683351903
pooled,3,26,6mo,0.7,0.1,0.1,0.9,0.0,0.308,0.10249235843219742,0.06686247727515307,0.06466224968390827
pooled,3,26,6mo,0.7,0.1,0.15,0.9,0.0,0.546,0.13895904895814534,0.06616404704970742,0.06554480922913408
pooled,3,26,6mo,0.7,0.1,0.12,0.7,-0.05,0.482,0.13182731058485495,0.06841951711316742,0.06811450217462013
pooled,3,26,6mo,0.7,0.1,0.15,0.5,-0.05,0.776,0.1619907580010946,0.0582357693829543,0.0592732153125128
pooled,3,26,6mo,0.7,0.1,0.12,0.5,0.05,0.671,0.12603930061958774,0.05159998404930877,0.052080583465772386
pooled,3,26,6mo,0.7,0.1,0.15,0.5,0.0,0.778,0.15704222721682035,0.055615408799667136,0.056797824358182404
pooled,3,26,6mo,0.7,0.1,0.15,0.5,0.05,0.839,0.15339527936367212,0.05133046900094484,0.050577225828201205
pooled,3,26,6mo,0.7,0.1,0.15,0.9,-0.05,0.567,0.16284379317072695,0.07509132011047658,0.07233350320876585
pooled,3,26,6mo,0.7,0.1,0.12,0.7,0.0,0.524,0.13287612747759028,0.06426904984711537,0.06607445592078193
pooled,3,26,6mo,0.7,0.1,0.15,0.7,0.05,0.652,0.13810746213244102,0.05691949794163077,0.05744751179366914
pooled,3,26,6mo,0.7,0.1,0.2,0.5,-0.05,0.938,0.20389091318890112,0.057495530979549826,0.05713575870850181
pooled,3,26,6mo,0.7,0.1,0.2,0.5,0.0,0.934,0.19672858202908225,0.05460115373636724,0.05480234168693969
pooled,3,26,6mo,0.7,0.1,0.15,0.9,0.05,0.221,0.06620220589891866,0.05314361192977908,0.05313198259176141
pooled,3,26,6mo,0.7,0.1,0.15,0.7,0.0,0.676,0.1545988405305327,0.06326608766558954,0.06449816203937775
pooled,3,26,6mo,0.7,0.1,0.05,0.9,0.0,0.112,0.05202138853209191,0.0688346761848286,0.06813499634383556
pooled,3,26,6mo,0.7,0.1,0.15,0.7,-0.05,0.648,0.16182459826240062,0.06811175857491848,0.06951442246957255
pooled,3,26,6mo,0.7,0.1,0.05,0.9,0.05,0.079,0.03208097645004754,0.05318336744982051,0.05143829248965389
pooled,3,26,6mo,0.7,0.1,0.2,0.7,0.0,0.861,0.1916706693603021,0.0626987676048587,0.060872871867469466
pooled,3,26,6mo,0.7,0.1,0.2,0.7,-0.05,0.862,0.2051445082311592,0.0672895049931578,0.06830295238875438
pooled,3,26,6mo,0.7,0.1,0.2,0.5,0.05,0.951,0.18508910065021947,0.05058203667776236,0.05076050177517332
pooled,3,26,6mo,0.7,0.1,0.2,0.7,0.05,0.831,0.1675618042064517,0.056249377767990535,0.05759375032201509
pooled,3,26,6mo,0.7,0.1,0.2,0.9,0.05,0.292,0.07643452851437599,0.053320658597767925,0.05516966551149628
pooled,3,26,6mo,0.7,0.1,0.2,0.9,-0.05,0.781,0.2067722653631876,0.0744136388640986,0.07262359074120235
pooled,3,26,6mo,0.7,0.1,0.25,0.5,0.05,0.985,0.21436079537451794,0.05077351252662146,0.052581744381582946
pooled,3,26,6mo,0.7,0.1,0.2,0.9,0.0,0.689,0.16248263713673744,0.06550192719589173,0.0646829188590741
pooled,3,26,6mo,0.7,0.1,0.25,0.5,0.0,0.983,0.2321043263189122,0.05402392675541901,0.0555883924719034
pooled,3,26,6mo,0.7,0.1,0.25,0.9,-0.05,0.895,0.24506978694264137,0.07362041952466979,0.07592522020531443
pooled,3,26,6mo,0.7,0.1,0.25,0.7,0.05,0.893,0.18627667444623644,0.05681285046820843,0.05745675040639089
pooled,3,26,6mo,0.7,0.1,0.25,0.5,-0.05,0.983,0.2416363829098342,0.057076143390409936,0.0592922812583472
pooled,3,26,6mo,0.7,0.1,0.25,0.7,-0.05,0.945,0.24298483636870902,0.06663259041387858,0.06536256357423452
pooled,3,26,6mo,0.7,0.1,0.25,0.7,0.0,0.935,0.2256358558766468,0.06264216194145139,0.06639195401181723
pooled,3,26,6mo,0.7,0.1,0.25,0.9,0.05,0.347,0.08668008704165686,0.05367897086843391,0.05429426761188633
pooled,3,26,6mo,0.7,0.1,0.25,0.9,0.0,0.762,0.1798313855597194,0.0658101945657182,0.06859420504438508
pooled,3,26,6mo,0.7,0.1,0.3,0.5,-0.05,0.996,0.27304233920587795,0.05669571694913454,0.057478171834575986
pooled,3,26,6mo,0.7,0.1,0.3,0.5,0.05,0.997,0.23225389528520016,0.05105628196151835,0.04991408699215913
pooled,3,26,6mo,0.7,0.1,0.3,0.5,0.0,0.995,0.2545952659908512,0.05451371379193455,0.056853358992647124
pooled,3,26,6mo,0.7,0.1,0.3,0.9,0.0,0.833,0.19060314678966098,0.06617908843548474,0.06495277916367419
pooled,3,26,6mo,0.7,0.1,0.3,0.7,0.0,0.975,0.24330470387907918,0.06226489649271421,0.06131656369086087
pooled,3,26,6mo,0.7,0.1,0.3,0.9,0.05,0.355,0.091105881206327,0.05467624335291829,0.05633346319963834
pooled,3,26,6mo,0.7,0.1,0.3,0.7,0.05,0.929,0.19609104152522955,0.0569552981903267,0.05775102833801655
pooled,3,26,6mo,0.7,0.1,0.4,0.7,-0.05,0.995,0.31118618747320753,0.06593970231202212,0.06756773146551746
pooled,3,26,6mo,0.7,0.2,0.02,0.9,0.0,0.068,0.02869840585316269,0.06736970729940583,0.06897794946449286
pooled,3,26,6mo,0.7,0.1,0.4,0.5,-0.05,1.0,0.31177267743230136,0.05735947828241449,0.059634824697277475
pooled,3,26,6mo,0.7,0.1,0.3,0.9,-0.05,0.972,0.2783927472281912,0.07210871963930143,0.0697924995042416
pooled,3,26,6mo,0.7,0.1,0.4,0.9,0.0,0.892,0.21399447891785287,0.06652815596010447,0.06524622371839421
pooled,3,26,6mo,0.7,0.1,0.3,0.7,-0.05,0.985,0.2771244208717793,0.06599237995803606,0.06760869767628419
pooled,3,26,6mo,0.7,0.1,0.4,0.7,0.05,0.955,0.20879162700848158,0.057764616631466474,0.05705273860378341
pooled,3,26,6mo,0.7,0.1,0.4,0.9,0.05,0.424,0.10066378424980693,0.05545615482020941,0.05636678192987644
pooled,3,26,6mo,0.7,0.1,0.4,0.7,0.0,0.987,0.26595880244529263,0.06292096067717587,0.06260878583339172
pooled,3,26,6mo,0.7,0.1,0.4,0.5,0.0,1.0,0.2818513784332248,0.055015705271778195,0.05508494866490376
pooled,3,26,6mo,0.7,0.2,0.02,0.7,0.0,0.059,0.023366277209677634,0.06411719901876402,0.06482471658106068
pooled,3,26,6mo,0.7,0.1,0.4,0.9,-0.05,0.991,0.3184382588754687,0.07207835181454385,0.07356207972087042
pooled,3,26,6mo,0.7,0.2,0.02,0.5,-0.05,0.077,0.02047587103787863,0.05806319363712173,0.058295702514468244
pooled,3,26,6mo,0.7,0.1,0.4,0.5,0.05,1.0,0.2509030577807355,0.051849550977006074,0.05408969517410893
pooled,3,26,6mo,0.7,0.2,0.02,0.9,0.05,0.055,0.01800579709519927,0.055585379735841794,0.056907878071168004
pooled,3,26,6mo,0.7,0.2,0.02,0.5,0.0,0.063,0.019862718491827983,0.05564208389449995,0.05757920301107605
pooled,3,26,6mo,0.7,0.2,0.02,0.9,-0.05,0.065,0.028125549865788618,0.07289768483183443,0.07458268046994104
pooled,3,26,6mo,0.7,0.2,0.02,0.5,0.05,0.071,0.01989223991304017,0.0523467610341189,0.051804531126625177
pooled,3,26,6mo,0.7,0.2,0.02,0.7,-0.05,0.055,0.0226918818272116,0.0679154156192509,0.06647390207998509
pooled,3,26,6mo,0.7,0.2,0.02,0.7,0.05,0.065,0.024410780159982777,0.058777507061982794,0.057159319042169796
pooled,3,26,6mo,0.7,0.2,0.05,0.5,-0.05,0.166,0.05632341478991937,0.05744293278909477,0.05913165853412193
pooled,3,26,6mo,0.7,0.2,0.05,0.7,0.0,0.165,0.05827913690013518,0.06330570500687309,0.06649191385586364
pooled,3,26,6mo,0.7,0.2,0.05,0.5,0.0,0.169,0.05458967266119397,0.05553825992257486,0.05764549247578136
pooled,3,26,6mo,0.7,0.2,0.05,0.7,-0.05,0.157,0.059617499063053275,0.06712698464894509,0.0696342343036694
pooled,3,26,6mo,0.7,0.2,0.05,0.7,0.05,0.143,0.05289060181282863,0.05848615529600974,0.06030725219207723
pooled,3,26,6mo,0.7,0.2,0.05,0.5,0.05,0.172,0.052095004315891785,0.05164987767352722,0.05307585502448857
pooled,3,26,6mo,0.7,0.2,0.05,0.9,-0.05,0.113,0.06011850816869353,0.073286077444163,0.07043361834013805
pooled,3,26,6mo,0.7,0.2,0.05,0.9,0.0,0.143,0.05714981126103384,0.06682574689039303,0.06641989679989432
pooled,3,26,6mo,0.7,0.2,0.05,0.9,0.05,0.097,0.0360212149612204,0.055382963888042425,0.055073249162538404
pooled,3,26,6mo,0.7,0.2,0.08,0.5,-0.05,0.302,0.08537292244573576,0.05726429012236728,0.05540726537967894
